path	verdict	pi	base_p	cap_p	hwp	base_pages	cap_pages
C:\Users\planet\hwpdocs\admrul_downloads\식품의약품안전처\1880690_[서식 3] 식품시설조사 및 안전성평가서  (첨가물제조업 및 식품소분업)(의약품 및 의약외품제조시설의 식품제조·가공시설 이용 기준).hwp	SAME	2	2	2	3	3	3
C:\Users\planet\hwpdocs\korea_downloads\공정거래위원회\156581882_230724(조간) 2022년 제품 결함 보상(리콜) 실적 발표.hwp	SAME	158	11	11	12	12	12
C:\Users\planet\hwpdocs\korea_downloads\교육부\156659008_[교육부 11-07(목) 조간보도자료] 2024년 직업계고 졸업자 취업통계조사 결과 발표_.hwpx	SAME	100	10	10	11	11	11
C:\Users\planet\hwpdocs\korea_downloads\교육부\156677324_[교육부 03-05(수) 석간보도자료] 글로컬대학 제2차 혁신지원 토론회 개최_.hwpx	SAME	9	1	1	2	3	3
C:\Users\planet\hwpdocs\korea_downloads\국세청\156691804_250530 국민과 함께하는 ｢상속·증여 토크콘서트｣ 개최.hwp	SAME	11	1	1	2	5	5
C:\Users\planet\hwpdocs\korea_downloads\산업통상자원부\156588490_0905(6조간)석유산업과, 국내 첫 '바이오항공유(SAF)' 시범 운항.hwpx	SAME	46	2	2	3	3	3
C:\Users\planet\hwpdocs\korea_downloads\식품의약품안전처\156503589_4.15 사이버조사팀.hwpx	SAME	24	4	4	5	6	6
C:\Users\planet\hwpdocs\korea_downloads\행정안전부\156762929_260522 (조간) 코딩 몰라도 도전 공무원 AI 코딩 서바이벌 열린다(공공인공지능혁신과).hwpx	SAME	19	2	2	3	5	5
C:\Users\planet\hwpdocs\korea_policy_downloads\148718218_0914_생활습관병 예방 수수께끼 수수로 푼다_브리핑자료.hwp	SAME	168	15	15	16	16	16
C:\Users\planet\hwpdocs\korea_policy_downloads\148719004_11. 10월 재난종합상황 분석 및 전망(110927)_최종.hwp	SAME	267	22	22	23	54	54
C:\Users\planet\hwpdocs\korea_policy_downloads\148735807_120706(동해어업관리단_정례브리핑)(대변항_부산의_새로운_관광명소로_부각_외1건)_최종.hwp	SAME	179	21	21	22	23	23
C:\Users\planet\hwpdocs\korea_policy_downloads\148752860_11.19 인력양성 협력 가이드라인.hwp	SAME	41	5	5	6	6	6
C:\Users\planet\hwpdocs\korea_policy_downloads\156434084_1.27 코로나19 치료제 중앙약사심의위원회 회의결과 발표.hwp	SAME	26	3	3	4	4	4
C:\Users\planet\hwpdocs\korea_policy_downloads\156633519_[통계청]_2024년_4월_산업활동동향(보도자료).hwp	SAME	339	45	45	46	88	88
C:\Users\planet\hwpdocs\korea_policy_downloads\156688279_250509_석간_(보도)_과기정통부_국정_핵심과제_4차_국민_브리핑.hwp	SAME	42	6	6	7	28	28
C:\Users\planet\hwpdocs\mois_downloads\2014\44523_05._정부전자문서유통_표준-게시.hwp	SAME	327	21	21	22	57	57
C:\Users\planet\hwpdocs\ordin_downloads\광주시\21139927_별표 1~3(광주시 공용차량 관리 규칙).hwp	SAME	18	5	5	6	9	9
C:\Users\planet\hwpdocs\ordin_downloads\김포시\21967401_[별지 제1호서식] 응시원서(김포시의회 공무원 인사규칙).hwp	SAME	13	1	1	2	4	4
C:\Users\planet\hwpdocs\ordin_downloads\남해군\18705991_별지 제1호서식(남해군 주민투표 조례).hwp	SAME	2	1	1	2	2	2
C:\Users\planet\hwpdocs\ordin_downloads\동두천시\21293323_별표(동두천시 재난안전대책본부 구성 및 운영 등에 관한 조례).hwp	SAME	91	12	12	13	14	14
C:\Users\planet\hwpdocs\ordin_downloads\목포시\20361883_별지(목포시자연사박물관 관리 운영 조례 시행규칙).hwp	SAME	23	3	3	4	16	16
C:\Users\planet\hwpdocs\ordin_downloads\보령시\20603941_별지 서식 공간정보제공신청서(보령시 공간정보에 관한 조례).hwp	SAME	13	1	1	2	2	2
C:\Users\planet\hwpdocs\ordin_downloads\보은군\17818679_서식1 직무제안서(보은군 제안제도 운영 조례 시행규칙).hwp	SAME	3	1	1	2	2	2
C:\Users\planet\hwpdocs\ordin_downloads\산청군\21652901_[별지 제1호서식] 응시원서 서식(산청군의회 지방공무원 인사 규칙).hwp	SAME	13	1	1	2	4	4
C:\Users\planet\hwpdocs\ordin_downloads\속초시\19139635_[별표 1] 소송비용의 지급기준 및 구비서류(제4조제3항 관련)(속초시의회 의원 소송비용 지원에 관한 조례).hwp	SAME	6	1	1	2	2	2
C:\Users\planet\hwpdocs\ordin_downloads\시흥시\20945477_[별표 1] 사용료의 기준(시흥아트센터 운영 조례).hwp	SAME	28	2	2	3	3	3
C:\Users\planet\hwpdocs\prism_downloads\고용노동부\1490000-200800034_D0150008-1-000_08.01.21-제1차 정책연구용역심의위원회 개최 결과.hwp	SAME	69	17	17	18	18	18
C:\Users\planet\hwpdocs\prism_downloads\교육부\1342000-201300034_D0150007-1-000_(계약서류)미래_사회_대비_국가_수준_교육과정_방향_탐색-역사_진재관.hwp	SAME	242	16	16	17	17	17
C:\Users\planet\hwpdocs\prism_downloads\국가데이터처\1240000-201800001_D0150016-1-000_[통계청]국제질병사인분류(ICD-11) 한국 수정판 현장 적용 1차 연구 결과 검토결과 보완요청사항.hwp	SAME	9	4	4	5	5	5
C:\Users\planet\hwpdocs\prism_downloads\국세청\1210000-201700008_D0150003-1-001_소규모 법인의 효율적인 세원관리 방안 연구 보고서(요약).hwp	SAME	265	21	21	22	32	32
C:\Users\planet\hwpdocs\prism_downloads\국토교통부\1611000-201000141_D0150012-1-000_소형항공운송사업 발전방안 연구용역 과업지시서(최종).hwp	SAME	1	1	1	2	12	12
C:\Users\planet\hwpdocs\prism_downloads\문화체육관광부\1371000-202300045_D0150004-1-001_정부간 대화채널의 운영방향과 아젠다 발굴 연구 결과보고서_2022.12.27.hwp	SAME	473	37	37	38	60	60
C:\Users\planet\hwpdocs\prism_downloads\방위사업청\1690000-201400002_D0150004-1-002_최종보고.hwp	SAME	66	10	10	11	21	21
C:\Users\planet\hwpdocs\prism_downloads\식품의약품안전처\1470000-200700038_D0150015-1-001_07132기타사838.hwp	SAME	0	1	1	2	9	9
C:\Users\planet\hwpdocs\prism_downloads\식품의약품안전처\1471000-201400002_D0150007-1-000_기능성원료 인정 규정 정책용역 계획서(프리즘등록버전).hwp	SAME	229	20	20	21	22	22
C:\Users\planet\hwpdocs\prism_downloads\전남광주통합특별시 보성군\4890000-201400001_D0150004-1-001_제2기 지역사회복지계획.hwp	SAME	533	38	38	39	370	370
C:\Users\planet\hwpdocs\prism_downloads\전북특별자치도 정읍시\4690000-202100019_D0150006-1-000_과업지시서(결재).hwp	SAME	22	1	1	2	5	5
C:\Users\planet\hwpdocs\prism_downloads\지식재산처\1430000-200700032_D0150004-1-001_특허관리 전문인력-결과보고서.hwp	SAME	132	7	7	8	53	53
C:\Users\planet\hwpdocs\prism_downloads\통일부\1250000-200900011_D0150004-2-001_프로그램매뉴얼(교육훈련2과).hwp	SAME	227	16	16	17	134	134
C:\Users\planet\hwpdocs\prism_downloads\해양수산부\1520000-200600074_D0150006-1-000_060417 위기관리시스템 과업 지시서.hwp	SAME	73	6	6	7	7	7
C:\Users\planet\hwpdocs\prism_downloads\해양수산부\1611000-200900179_D0150006-1-000_과업지시서 1부.hwp	SAME	43	5	5	6	18	18
C:\Users\planet\hwpdocs\prism_downloads\행정안전부\1311000-201200047_D0150006-1-000_120410 기록경영시스템 인증제 시행 세부기준 개발 연구용역 제안요청서_조달청.hwp	SAME	219	18	18	19	26	26
C:\Users\planet\hwpdocs\samples\강동소방서 소방행정과\36442883_결재문서본문.hwpx	SAME	18	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\강북소방서 미아119안전센터\36488466_결재문서본문.hwpx	SAME	29	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\관악소방서 소방행정과\36424868_결재문서본문.hwpx	SAME	24	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\교통실 교통기획관 버스정책과\36368692_결재문서본문.hwpx	SAME	12	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\동부공원여가센터 공원운영과\36349153_결재문서본문.hwpx	SAME	30	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\동부공원여가센터 서울숲관리사무소\36481164_결재문서본문.hwpx	SAME	4	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\동작소방서 소방행정과\36316555_이달의 일꾼 표창 선발 및 추천제외 기준 등.hwpx	SAME	25	2	2	3	3	3
C:\Users\planet\hwpdocs\samples\문화본부 박물관과\36310279_결재문서본문.hwpx	SAME	14	2	2	3	3	3
C:\Users\planet\hwpdocs\samples\문화본부 박물관과\36411357_결재문서본문.hwpx	SAME	14	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\물재생센터 난지물재생센터 시설보수과\36385713_결재문서본문_물품제조(수리)계약 심사요청서(상암오수펌프장 조세목제진기 제작구매).hwpx	SAME	4	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\민생노동국 상권활성화과\36365472_결재문서본문_「2026년 서울시 가계보탬 페이백 주간 사업」은평구 대림시장 사업계획 변경 요청 검토 보고.hwpx	SAME	16	2	2	3	3	3
C:\Users\planet\hwpdocs\samples\복지실 복지기획관 자활지원과\36434266_결재문서본문.hwpx	SAME	20	2	2	3	3	3
C:\Users\planet\hwpdocs\samples\서대문구 안전건설국 푸른도시과\36400525_결재문서본문_특정제품 선정 심사위원회 개최계획 보고.hwpx	SAME	33	2	2	3	4	4
C:\Users\planet\hwpdocs\samples\서울아리수본부 강남수도사업소 시설관리과\36499794_결재문서본문.hwpx	SAME	20	2	2	3	3	3
C:\Users\planet\hwpdocs\samples\서울아리수본부 서부수도사업소 급수운영과\36342147_결재문서본문.hwpx	SAME	21	2	2	3	3	3
C:\Users\planet\hwpdocs\samples\소방재난본부 현장대응단\36368440_결재문서본문_보조배터리 화재안전 강화를 위한 정책 제안 및 후속조치 계획.hwpx	SAME	18	2	2	3	6	6
C:\Users\planet\hwpdocs\samples\시립미술관 북서울미술관 운영과\36307891_결재문서본문.hwpx	SAME	15	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\시민감사옴부즈만위원회\36347672_결재문서본문.hwpx	SAME	15	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\어린이병원 진료부\36481263_결재문서본문.hwpx	SAME	37	5	5	6	6	6
C:\Users\planet\hwpdocs\samples\은평소방서 소방행정과\36382936_1. 2026년 제16회 지방행정의 달인 선발계획(지자체).hwpx	SAME	59	5	5	6	20	20
C:\Users\planet\hwpdocs\samples\인사팀\36400259_2026년제7차인사위원회결과보고(26.6.19.)_2026년 제7차 인사위원회 결과보고(26. 6. 19.).hwpx	SAME	0	1	1	2	2	2
C:\Users\planet\hwpdocs\samples\주택실 건축기획관 주거정비과\36458608_결재문서본문.hwpx	SAME	22	3	3	4	6	6
C:\Users\planet\hwpdocs\samples\주택실 주택정책관 주택정책과\36328040_결재문서본문.hwpx	SAME	20	2	2	3	4	4
C:\Users\planet\hwpdocs\samples\한성백제박물관 백제학연구소\36340478_결재문서본문.hwpx	SAME	60	6	6	7	7	7
